# 29-04-2026 10:47:57
# star_mass = 15.6269593047138304
# num_shells = 196
# element_names = h1, he3, he4, c12, n14, o16
id      mass                      dm                        radius                    density                   pressure                  e_thermal                 buoyancy                  temperature               mean_mu                   passive_scalar            h1                        he3                       he4                       c12                       n14                       o16                       
23      2.0381971063503723e+00    8.9989621689357202e-02    6.5137843665681139e-01    7.8578272905492543e+00    3.0212961029250848e+16    6.1177996717554180e+15    1.5625318131838984e+16    2.9207909737402745e+07    6.7245835513918661e-01    0.0000000000000000e+00    6.0130634836751995e-01    2.7628590717699169e-07    3.8469675044287871e-01    7.4774677818160106e-05    7.6665401116725916e-03    1.8605628536726483e-03    
24      2.1212715982580921e+00    8.3074491907719761e-02    6.6295052690236533e-01    7.6742390456035778e+00    2.9369940420375680e+16    6.0920536433044740e+15    1.5814255132263256e+16    2.9057683868454907e+07    6.7245835513266194e-01    0.0000000000000000e+00    6.0130634837920682e-01    2.7628593428295741e-07    3.8469675043112150e-01    7.4774677690004373e-05    7.6665401116684934e-03    1.8605628538482068e-03    
25      2.2005732771879640e+00    7.9301678929871944e-02    6.7484992386569542e-01    7.4993620573311643e+00    2.8582195753578480e+16    6.0698692787107080e+15    1.6009138787751054e+16    2.8921754823988080e+07    6.7245835512893393e-01    0.0000000000000000e+00    6.0130634838588426e-01    2.7628594921391713e-07    3.8469675042440582e-01    7.4774677625035090e-05    7.6665401116565775e-03    1.8605628539484496e-03    
26      2.2811389651800944e+00    8.0565687992130375e-02    6.8625030330141745e-01    7.3303689166025636e+00    2.7884649887817728e+16    6.0606603267656000e+15    1.6236594405059588e+16    2.8792632062075134e+07    6.7104140863027228e-01    0.0000000000000000e+00    6.0385002874270222e-01    1.5642440224297468e-06    3.8214536065282462e-01    6.6513894067578766e-05    7.6408650764626272e-03    1.9009201293895984e-03    
27      2.3626890527699738e+00    8.1550087589879361e-02    6.9542208288543572e-01    7.0380356338428109e+00    2.7179995152586896e+16    6.1488000593438180e+15    1.6913584063761912e+16    2.8527580624923903e+07    6.5440748827430739e-01    0.0000000000000000e+00    6.3453721842002653e-01    5.2345099894165379e-06    3.5137584644790265e-01    3.8380033637108935e-05    7.1559309193896248e-03    2.4926424085233794e-03    
28      2.4470148150022077e+00    8.4325762232233981e-02    7.0756745488551509e-01    6.7144109460884707e+00    2.6442841321729584e+16    6.2646443957361960e+15    1.7764103707497950e+16    2.8219922888211541e+07    6.3414586596824496e-01    0.0000000000000000e+00    6.7410383219239822e-01    6.3829438939275987e-06    3.1165011653996283e-01    3.1566487451530484e-05    6.0660552821766326e-03    3.7472992935855399e-03    
29      2.5260664813565352e+00    7.9051666354327477e-02    7.1870508482324846e-01    6.4342976346697389e+00    2.5763883727312364e+16    6.3648771831560370e+15    1.8553914537139880e+16    2.7947081177450791e+07    6.1716739804960341e-01    0.0000000000000000e+00    7.0929024920710393e-01    7.5727557665746911e-06    2.7616963268749933e-01    2.0527616960693432e-05    4.0416734654612754e-03    6.0755970066768347e-03    
30      2.6051977039782441e+00    7.9131222621708908e-02    7.2991285369199632e-01    6.2659172625433968e+00    2.5075918867741904e+16    6.3639855628908160e+15    1.8890439469114000e+16    2.7808725209323805e+07    6.1473127999529709e-01    0.0000000000000000e+00    7.1450294717479823e-01    8.4166998302978607e-06    2.7088907586072308e-01    1.7702240266455834e-05    3.5791616059541458e-03    6.6079491578963047e-03    
31      2.6954511911702044e+00    9.0253487191960247e-02    7.4268455201328309e-01    6.1128377295008249e+00    2.4384121254872504e+16    6.3476614412776470e+15    1.9169127421377092e+16    2.7696539873779170e+07    6.1470664864567359e-01    0.0000000000000000e+00    7.1455562831150998e-01    9.2784175935383332e-06    2.7083518112419397e-01    1.7235964111797636e-05    3.5777864092683721e-03    6.6101425127910217e-03    
32      2.7756210423131282e+00    8.0169851142923854e-02    7.5413468940534378e-01    5.9668580790793868e+00    2.3734818954082636e+16    6.3343127793930380e+15    1.9454541274818200e+16    2.7595438684926931e+07    6.1468684088617032e-01    0.0000000000000000e+00    7.1459795036201801e-01    1.0187367131185393e-05    2.7079168053024449e-01    1.6816445540113429e-05    3.5768781286098362e-03    6.6117399059249342e-03    
33      2.8624883044538652e+00    8.6867262140736923e-02    7.6609657981302437e-01    5.8193665601626785e+00    2.3089142523867148e+16    6.3232120289341640e+15    1.9764341585485868e+16    2.7499519070455965e+07    6.1467000682709083e-01    0.0000000000000000e+00    7.1463386570616194e-01    1.1204935020422146e-05    2.7075455068917814e-01    1.6533111144667874e-05    3.5761607389671588e-03    6.6129375589961993e-03    
34      2.9479281417410017e+00    8.5439837287136555e-02    7.7848727335933954e-01    5.6748693389214733e+00    2.2466279458332720e+16    6.3147285391618690e+15    2.0090368905325704e+16    2.7411597288534608e+07    6.1465582037943500e-01    0.0000000000000000e+00    7.1466406038564523e-01    1.2310135470861470e-05    2.7072320522447813e-01    1.6932228126332034e-05    3.5749103726456931e-03    6.6138343931023170e-03    
35      3.0357497409317480e+00    8.7821599190746280e-02    7.8969920492176604e-01    5.5350130549981786e+00    2.1872612853289240e+16    6.3089730890198190e+15    2.0429325599616360e+16    2.7332612204023268e+07    6.1464384490441204e-01    0.0000000000000000e+00    7.1468941959707344e-01    1.3496855428775774e-05    2.7069701708027777e-01    1.9564980545570237e-05    3.5712717939678468e-03    6.6144824321751590e-03    
36      3.1150792450213158e+00    7.9329504089567848e-02    8.0029442870884482e-01    5.3959423936355035e+00    2.1290949040444124e+16    6.3057441964159550e+15    2.0791133808456388e+16    2.7260086258888271e+07    6.1463295448496924e-01    0.0000000000000000e+00    7.1471225289068441e-01    1.4804762435144247e-05    2.7067410729054803e-01    2.7326500653570795e-05    3.5617814565962165e-03    6.6149798385511235e-03    
37      3.1959912364978060e+00    8.0911991476490197e-02    8.1257086544201107e-01    5.2629732449358766e+00    2.0742737807073392e+16    6.3051250661611990e+15    2.1162279766491660e+16    2.7196539273434721e+07    6.1462298857531761e-01    0.0000000000000000e+00    7.1473283118232422e-01    1.6189235506711762e-05    2.7065465312638559e-01    4.2653194222963999e-05    3.5435793754425272e-03    6.6153466255866166e-03    
38      3.2744607556265484e+00    7.8469519128742338e-02    8.2127114598939632e-01    5.1726199806496460e+00    2.0389024108163336e+16    6.4899816098161560e+15    2.2840569622105680e+16    2.9808426486073151e+07    6.9681569757157535e-01    5.7280894779302904e-01    5.5924615179573323e-01    7.2775128027733223e-06    4.2658683514330015e-01    7.9977959613821074e-05    6.5126246095636772e-03    3.1723857184549260e-03    
39      3.3527244311551048e+00    7.8263675528556398e-02    8.3182001663457206e-01    5.0709429597132800e+00    1.9897552936569900e+16    6.4474723512003120e+15    2.2929661151073056e+16    2.9457354257907763e+07    6.9005006615011344e-01    5.3083296964062676e-01    5.7064559253467362e-01    8.2936104538070888e-06    4.1515568143315490e-01    8.5100079646124326e-05    6.2857948812763669e-03    3.4247902002637175e-03    
40      3.4317902739322674e+00    7.9065842777162665e-02    8.4237084567480358e-01    4.9735725142316936e+00    1.9413989924045004e+16    6.4270522315342700e+15    2.3219217240971376e+16    2.9446982156636842e+07    6.9513439684261125e-01    5.6248008619177592e-01    5.6205779637863784e-01    8.0379628340574589e-06    4.2376865812997572e-01    9.1998266281877498e-05    6.4441733646182810e-03    3.2345886371207460e-03    
41      3.5116703876301294e+00    7.9880113697861965e-02    8.5288158669966474e-01    4.8783212266046663e+00    1.8937535215621300e+16    6.4052357361052220e+15    2.3509456043750800e+16    2.9436803427102767e+07    7.0053452982593001e-01    5.9558617280625470e-01    5.5307314628385185e-01    7.7033619002446461e-06    4.3277955286114184e-01    9.8222017693099612e-05    6.6110215261172833e-03    3.0356066887642975e-03    
42      3.5914903916013925e+00    7.9820003971263098e-02    8.6348161956009462e-01    4.7849065963671409e+00    1.8472496159176972e+16    6.3739503800892280e+15    2.3719143502422812e+16    2.9305133931321260e+07    7.0180956007910067e-01    6.0333967062303173e-01    5.5097168164270405e-01    7.8208098194189898e-06    4.3488808963188541e-01    1.0644403058152009e-04    6.6421638719822030e-03    2.9890527524960844e-03    
43      3.6718338812583564e+00    8.0343489656963918e-02    8.7370990351504718e-01    4.6933803668809881e+00    1.8016940486463972e+16    6.3448217877554170e+15    2.3953066720116188e+16    2.9208120864890914e+07    7.0438319170299901e-01    6.1888688079842302e-01    5.4675347985277001e-01    7.7687684778214161e-06    4.3911908459170385e-01    1.1281490018253697e-04    6.7164864093807132e-03    2.8956182169536794e-03    
44      3.7504355689092841e+00    7.8601687650927676e-02    8.8457299785660115e-01    4.6053497792450244e+00    1.7579877344972856e+16    6.3038667687981410e+15    2.4071769523252376e+16    2.8962213035434585e+07    7.0165765519869217e-01    6.0244212918353446e-01    5.5122104272915617e-01    8.3716411774841329e-06    4.3463974370072939e-01    1.1991824424515063e-04    6.6216859466807125e-03    2.9944904774796069e-03    
45      3.8289968910487362e+00    7.8561322139452106e-02    8.9473974809861723e-01    4.5198871074340223e+00    1.7153915165902668e+16    6.2838108547354360e+15    2.4386956982025020e+16    2.8988150045495864e+07    7.0863694066433092e-01    6.4433902868900295e-01    5.3984859413944930e-01    7.7332731363773990e-06    4.4604545445372207e-01    1.2679534516500459e-04    6.8340059445809800e-03    2.7426695834150330e-03    
46      3.9091038484656742e+00    8.0106957416937963e-02    9.0489980871205067e-01    4.4354548926610189e+00    1.6737330279338436e+16    6.2479911552727430e+15    2.4555095486602120e+16    2.8811402375635747e+07    7.0837208240724048e-01    6.4277403953618861e-01    5.4027580596747493e-01    8.0037330101338509e-06    4.4561784943023869e-01    1.3312462326787829e-04    6.8183784799211037e-03    2.7520905055558060e-03    
47      3.9890073984829333e+00    7.9903550017259128e-02    9.1518976229459470e-01    4.3519821537664383e+00    1.6326460696563410e+16    6.2159033766534310e+15    2.4765506242991340e+16    2.8686585843017124e+07    7.1006372149654851e-01    6.5281746115676487e-01    5.3755082697733947e-01    8.0151101141106875e-06    4.4835115773241069e-01    1.3789226083067675e-04    6.8656388162595680e-03    2.6917218425139035e-03    
48      4.0682360350835989e+00    7.9228636600665592e-02    9.2543442344792470e-01    4.2707334639089298e+00    1.5928151395792514e+16    6.1850433988513760e+15    2.4985723422887048e+16    2.8575745490739334e+07    7.1224263824321621e-01    6.6568294961215180e-01    5.3405997910710512e-01    7.9444128412911168e-06    4.5185289900437148e-01    1.4484167514560047e-04    6.9251824473667671e-03    2.6144060926382535e-03    
49      4.1465336775159445e+00    7.8297642432345604e-02    9.3548633030036987e-01    4.1917132628488227e+00    1.5542472679141926e+16    6.1554396069342610e+15    2.5215698492563836e+16    2.8478057990958873e+07    7.1487952468742078e-01    6.8114313795226644e-01    5.2986401234656666e-01    7.7874068212523161e-06    4.5606142865840560e-01    1.4958352439937698e-04    7.0009593447715127e-03    2.5214814585040957e-03    
