# 12-09-2025 15:49:25
# star_mass = 15.6269569279461766
# num_shells = 143
# element_names = h1, he3, he4, c12, n14, o16
id      mass                      dm                        radius                    density                   pressure                  e_thermal                 buoyancy                  temperature               mean_mu                   passive_scalar            h1                        he3                       he4                       c12                       n14                       o16                       
24      2.6557925592534981e+00    7.5435137637548166e-02    7.3843665615579734e-01    6.1676365822296964e+00    2.4629279816567612e+16    6.3528877763953040e+15    1.9065843110446204e+16    2.7734846730801262e+07    6.1471500746875574e-01    0.0000000000000000e+00    7.1453775714911016e-01    8.9533144871610752e-06    2.7085349407343084e-01    1.7403611377138110e-05    3.5782120184314095e-03    6.6094325726318509e-03    
25      2.7453991107610491e+00    8.9606551507551035e-02    7.4988901077340131e-01    6.0204923904704275e+00    2.3971178438646304e+16    6.3386485288002890e+15    1.9346276885376212e+16    2.7630908741387781e+07    6.1469391624320679e-01    0.0000000000000000e+00    7.1458283798650402e-01    9.8366950895007757e-06    2.7080723853137889e-01    1.6968081863338215e-05    3.5771889855734343e-03    6.6111824590593749e-03    
26      2.8738061583026404e+00    1.2840704754159127e-01    7.6505520286574313e-01    5.8390941167370407e+00    2.3174285118136800e+16    6.3243598495677340e+15    1.9720908096514948e+16    2.7511364362468496e+07    6.1467234052231645e-01    0.0000000000000000e+00    7.1462888783631118e-01    1.1058336277746483e-05    2.7075970209495354e-01    1.6575072595957880e-05    3.5762513891878797e-03    6.6127780101422210e-03    
27      3.0062198716949404e+00    1.3241371339230001e-01    7.8261946067282206e-01    5.6201734838009560e+00    2.2232463369972140e+16    6.3119966317071900e+15    2.0219401934066652e+16    2.7379393914441686e+07    6.1465116098302741e-01    0.0000000000000000e+00    7.1467393773100774e-01    1.2755722260794843e-05    2.7071298427980039e-01    1.7740276125543532e-05    3.5737388396370369e-03    6.6140958906370697e-03    
28      3.1600049293902854e+00    1.5378505769534501e-01    8.0786433719877604e-01    5.3869881854484944e+00    2.1253404193575824e+16    6.3054942117910170e+15    2.0814836136501936e+16    2.7255216458358917e+07    6.1463237618417288e-01    0.0000000000000000e+00    7.1471342418318629e-01    1.4891305412007669e-05    2.7067310141367562e-01    2.8856582233812147e-05    3.5599749764857482e-03    6.6150042784751456e-03    
29      3.2461387112063362e+00    8.6133781816050803e-02    8.1833266861602172e-01    5.2126878972506576e+00    2.0579935703869424e+16    6.4274691088579220e+15    2.2170535378603544e+16    2.8887912805159502e+07    6.6513793456025450e-01    3.6881040239157059e-01    6.1462086878126243e-01    1.0461917788004628e-05    3.7105341317414620e-01    6.6478504128000747e-05    5.4554792885424981e-03    4.3985510736016193e-03    
30      3.3195512859471186e+00    7.3412574740782333e-02    8.2747128886903143e-01    5.1091681546833492e+00    2.0085471744801644e+16    6.4453584390998080e+15    2.2739549339098832e+16    2.9337116115855131e+07    6.8410011048538555e-01    4.9320945495313828e-01    5.8085741584239325e-01    8.8134620382289794e-06    4.0491435713591450e-01    8.0806096642671986e-05    6.0929462093932494e-03    3.6509139930868554e-03    
31      3.4324375606835531e+00    1.1288627473643453e-01    8.4133539439970551e-01    4.9925270689962487e+00    1.9507891489442188e+16    6.4317075721890970e+15    2.3167700208361680e+16    2.9457875970774259e+07    6.9443062233747188e-01    5.5812639931196539e-01    5.6323903729150171e-01    8.0573739046202724e-06    4.2258391411495017e-01    9.0719490645535007e-05    6.4227713367976842e-03    3.2607531316689018e-03    
32      3.5855441163513135e+00    1.5310655566776044e-01    8.5655738956139027e-01    4.8334629546685655e+00    1.8714261327655936e+16    6.3878594540130420e+15    2.3587403318939092e+16    2.9342029087754872e+07    7.0003168640186086e-01    5.9253338250780618e-01    5.5390372486794859e-01    7.8945679472266436e-06    4.3194717225261103e-01    1.0234081174468032e-04    6.5901352779542711e-03    3.0539849612627604e-03    
33      3.7076930694375183e+00    1.2214895308620477e-01    8.7634688800438876e-01    4.6758921175845982e+00    1.7930069815431568e+16    6.3359099367916180e+15    2.3968669942655144e+16    2.9148731637321252e+07    7.0346119793806494e-01    6.1333708181477398e-01    5.4826091989524328e-01    7.9439873967875883e-06    4.3760758468306121e-01    1.1453152907829281e-04    6.6852884112045090e-03    2.9289842334844847e-03    
